method,size(KB),avg_rel_error,A10GPU_avg_query_time,Intel4310CPU_avg_query_time,t2medium_avg_query_time
DeepMapping++,2294.14,0.0014,0.00046,0.00031,0.00041
DeepMapping++,2219.31,0.0024,0.00046,0.00031,0.00041
DeepMapping++,2181.69,0.0029,0.00045,0.00031,0.00040
DeepMapping++,1998.70,0.0068,0.00045,0.00031,0.00040
DeepMapping++,1652.83,0.0281,0.00044,0.00031,0.00040
DeepMapping++,1069.31,0.0624,0.00044,0.00031,0.00039
VerdictDB,2343.75,0.0072,0.1551,0.1722,
VerdictDB,2187.50,0.0067,0.1433,0.1614,
VerdictDB,1953.12,0.0075,0.1252,0.145,
VerdictDB,1796.87,0.0072,0.1169,0.1324,
VerdictDB,1562.50,0.0072,0.1029,0.1179,
VerdictDB,1406.25,0.0077,0.0941,0.1067,
VerdictDB,1171.87,0.0092,0.0809,0.0909,
DBEst++,2539.75,0.8989,0.0199,0.0222,
DBEst++,2113.57,0.8979,0.0198,0.0220,
DBEst++,1876.62,0.8985,0.0198,0.0222,
DBEst++,1726.46,0.8984,0.0198,0.0221,
DBEst++,1378.42,0.8994,0.0196,0.0223,
DBEst++,1128.12,0.8994,0.0195,0.0222,